station,duration,IGS08LAT,IGS08LONG,IGS08ELIPHT,avgambfixed,avgbaselinelength(km),sigman95,sigmae95,sigmah95,NominalT,dn (cm),de (cm),dh (cm)
B726,2.016666667,44.64840764,-123.0626593,41.98010516,0.879,759.471,0.018,0.092,0.052,2,2.85,14.73,-7.39
B726,2.016666667,44.64840751,-123.0626595,41.89971581,0.873,744.418,0.023,0.019,0.058,2,1.37,12.75,-15.43
B726,2.016666667,44.64840755,-123.0626602,42.00470562,0.876,752.837,0.012,0.014,0.04,2,1.83,7.26,-4.93
B726,2.016666667,44.64840749,-123.0626613,42.05452109,0.863,818.211,0.01,0.011,0.044,2,1.12,-1.32,0.05
B726,2.016666667,44.64840745,-123.0626611,42.09580961,0.903,751.078,0.007,0.008,0.031,2,0.7,0.31,4.18
B726,2.016666667,44.64840744,-123.0626609,42.07743227,0.892,821.755,0.01,0.022,0.039,2,0.55,2.15,2.34
B726,2.016666667,44.64840748,-123.0626612,42.05070839,0.88,752.837,0.008,0.01,0.033,2,1.08,-0.4,-0.33
B726,2.016666667,44.64840716,-123.0626619,42.16305297,0.837,818.211,0.048,0.174,0.126,2,-2.57,-6.54,10.91
B726,2.016666667,44.64840745,-123.0626609,42.07340563,0.846,751.078,0.027,0.046,0.064,2,0.66,1.43,1.94
B726,2.016666667,44.64840749,-123.0626602,42.01611743,0.853,764.775,0.037,0.139,0.144,2,1.12,7.64,-3.79
B726,2.016666667,44.64840704,-123.0626621,42.09378637,0.875,752.837,0.013,0.018,0.034,2,-3.88,-7.72,3.98
B726,2.016666667,44.64840721,-123.0626612,42.03219816,0.885,818.211,0.009,0.011,0.026,2,-2.01,-0.8,-2.18
B726,2.016666667,44.64840716,-123.0626606,42.05205558,0.882,751.078,0.012,0.01,0.027,2,-2.57,4.31,-0.19
B726,2.016666667,44.64840708,-123.0626612,42.00401691,0.887,751.078,0.009,0.013,0.038,2,-3.45,-0.74,-5
B726,2.016666667,44.64840712,-123.0626611,42.03488292,0.91,752.837,0.008,0.008,0.021,2,-2.98,0.24,-1.91
B726,2.016666667,44.64840727,-123.0626612,42.04613686,0.841,818.211,0.012,0.014,0.059,2,-1.28,-0.25,-0.79
B726,2.016666667,44.64840743,-123.0626609,42.00248825,0.856,751.078,0.009,0.013,0.038,2,0.5,2.04,-5.15
B726,2.016666667,44.64840735,-123.0626611,42.0149694,0.87,751.078,0.01,0.01,0.041,2,-0.45,-0.17,-3.9
B726,2.016666667,44.64840729,-123.0626612,42.05868244,0.876,752.837,0.009,0.012,0.038,2,-1.12,-0.34,0.47
B726,2.016666667,44.64840742,-123.0626609,42.08731876,0.806,807.751,0.013,0.01,0.036,2,0.41,1.48,3.33
BICK,2.016666667,44.48952025,-123.2807105,51.98032408,0.901,809.321,0.009,0.01,0.03,2,-1.46,0.91,2.03
BICK,2.016666667,44.48952032,-123.2807105,51.97588463,0.872,807.49,0.009,0.01,0.039,2,-0.6,0.67,1.59
BICK,2.016666667,44.4895203,-123.2807105,51.97588075,0.891,752.341,0.01,0.01,0.05,2,-0.88,0.92,1.59
BICK,2.016666667,44.48952029,-123.2807104,51.98784223,0.891,809.321,0.01,0.036,0.035,2,-0.94,1.38,2.78
BICK,2.016666667,44.48952037,-123.2807105,51.96927519,0.903,750.51,0.011,0.009,0.049,2,-0.09,1.2,0.93
BICK,2.008333333,44.4895203,-123.2807106,51.97804685,0.927,814.625,0.009,0.009,0.032,2,-0.82,0.39,1.8
BICK,2.016666667,44.48952033,-123.2807106,51.95984513,0.922,750.51,0.01,0.009,0.037,2,-0.57,0.26,-0.02
BICK,2.016666667,44.48952037,-123.2807106,51.9521067,0.876,814.625,0.01,0.009,0.035,2,-0.09,0.16,-0.79
BICK,2.016666667,44.48952028,-123.2807106,52.00109113,0.903,789.317,0.01,0.01,0.052,2,-1.12,-0.07,4.11
BICK,2.016666667,44.48952031,-123.2807106,51.94917693,0.919,762.494,0.008,0.009,0.027,2,-0.78,0.1,-1.08
BICK,2.016666667,44.48952038,-123.2807106,51.97529601,0.903,809.321,0.008,0.009,0.026,2,0.02,0.12,1.53
BICK,2.016666667,44.48952035,-123.2807106,51.9596441,0.9,809.321,0.009,0.008,0.031,2,-0.27,-0.12,-0.04
BICK,2.016666667,44.48952031,-123.2807107,51.9478614,0.902,752.341,0.01,0.009,0.039,2,-0.79,-0.31,-1.21
BICK,2.016666667,44.48952032,-123.2807106,51.98801428,0.913,814.625,0.008,0.008,0.024,2,-0.67,0.55,2.8
BICK,2.016666667,44.4895203,-123.2807105,51.97100144,0.925,752.341,0.008,0.009,0.029,2,-0.82,0.78,1.1
BICK,2.016666667,44.48952027,-123.2807105,51.9702784,0.933,814.625,0.008,0.01,0.027,2,-1.17,0.67,1.03
BICK,2.016666667,44.4895203,-123.2807106,51.96521643,0.928,752.341,0.008,0.008,0.03,2,-0.82,0.51,0.52
BICK,2.016666667,44.48952034,-123.2807107,51.94837951,0.888,814.625,0.01,0.012,0.039,2,-0.42,-0.34,-1.16
BICK,2.016666667,44.48952032,-123.2807106,51.95245365,0.922,766.038,0.008,0.009,0.026,2,-0.68,-0.15,-0.75
BICK,2.016666667,44.48952028,-123.2807106,51.94915467,0.881,754.101,0.009,0.01,0.042,2,-1.06,-0.01,-1.08
BICK,2.016666667,44.48952035,-123.2807107,51.95385909,0.919,809.321,0.007,0.008,0.031,2,-0.26,-0.4,-0.61
BICK,2.016666667,44.48952037,-123.2807107,51.9801202,0.866,809.321,0.013,0.021,0.054,2,-0.04,-0.83,2.01
BICK,2.016666667,44.48952035,-123.2807107,51.92729254,0.9,752.341,0.009,0.009,0.025,2,-0.32,-0.3,-3.27
BICK,2.016666667,44.48952032,-123.2807107,51.95095157,0.906,809.321,0.008,0.01,0.041,2,-0.68,-0.34,-0.9
BICK,2.016666667,44.48952025,-123.2807106,51.93819553,0.92,752.341,0.009,0.009,0.027,2,-1.39,0.1,-2.18
BICK,2.016666667,44.4895203,-123.2807106,51.95704202,0.931,814.625,0.008,0.01,0.029,2,-0.86,0.26,-0.3
BICK,2.016666667,44.48952031,-123.2807106,51.96182081,0.935,752.341,0.008,0.008,0.024,2,-0.76,0.21,0.18
BICK,2.016666667,44.48952032,-123.2807106,51.95358264,0.879,814.625,0.014,0.019,0.059,2,-0.66,0.49,-0.64
BICK,2.016666667,44.4895204,-123.2807108,51.95829957,0.872,766.038,0.013,0.021,0.04,2,0.28,-1.76,-0.17
BICK,2.016666667,44.48952026,-123.2807106,51.95879052,0.912,754.101,0.01,0.01,0.033,2,-1.31,-0.04,-0.12
BICK,2.016666667,44.48952038,-123.2807107,51.95388135,0.917,809.321,0.009,0.01,0.028,2,0.02,-0.29,-0.61
BICK,2.016666667,44.48952034,-123.2807106,51.97088642,0.875,809.321,0.009,0.01,0.029,2,-0.39,-0.02,1.09
BICK,2.016666667,44.48952034,-123.2807107,51.95952132,0.916,752.341,0.008,0.009,0.025,2,-0.4,-0.43,-0.05
BICK,2.016666667,44.48952035,-123.2807107,51.99960069,0.896,809.321,0.01,0.015,0.046,2,-0.27,-1,3.96
BICK,2.016666667,44.48952029,-123.2807107,51.96822921,0.919,752.341,0.009,0.01,0.029,2,-0.97,-0.71,0.82
BICK,2.016666667,44.48952031,-123.2807107,51.95920812,0.934,809.321,0.009,0.01,0.03,2,-0.79,-0.26,-0.08
BICK,2.016666667,44.48952025,-123.2807105,51.97326029,0.913,752.341,0.008,0.022,0.029,2,-1.47,0.95,1.33
BICK,2.016666667,44.48952031,-123.2807106,51.99434053,0.877,814.625,0.011,0.01,0.036,2,-0.73,-0.2,3.43
BICK,2.016666667,44.48952037,-123.2807107,51.95954358,0.892,752.341,0.01,0.01,0.038,2,-0.12,-0.32,-0.05
BICK,2.016666667,44.48952023,-123.2807106,52.00476992,0.889,754.101,0.01,0.013,0.038,2,-1.62,0.46,4.48
BICK,2.016666667,44.48952027,-123.2807104,51.98295903,0.907,809.321,0.009,0.009,0.027,2,-1.16,1.5,2.3
BICK,2.016666667,44.48952031,-123.2807105,51.97487453,0.875,809.321,0.009,0.008,0.034,2,-0.78,0.59,1.49
BICK,2.016666667,44.4895203,-123.2807106,51.97098306,0.889,809.321,0.009,0.008,0.031,2,-0.82,0.42,1.1
BICK,2.016666667,44.48952034,-123.2807107,51.97644813,0.914,809.321,0.009,0.009,0.025,2,-0.38,-0.24,1.64
BICK,2.016666667,44.48952031,-123.2807106,51.95066063,0.923,752.341,0.009,0.007,0.028,2,-0.79,-0.07,-0.93
BICK,2.016666667,44.48952031,-123.2807107,51.92547727,0.934,809.321,0.01,0.008,0.025,2,-0.7,-0.33,-3.45
BICK,2.016666667,44.48952028,-123.2807105,51.96819832,0.92,752.341,0.009,0.006,0.026,2,-1.11,0.78,0.82
BICK,2.016666667,44.48952028,-123.2807106,51.98269899,0.87,814.625,0.01,0.008,0.029,2,-1.13,0.28,2.27
BICK,2.016666667,44.48952026,-123.2807105,51.9883796,0.896,752.341,0.01,0.008,0.026,2,-1.27,0.61,2.84
BICK,2.016666667,44.48952027,-123.2807106,51.96469831,0.906,754.101,0.009,0.009,0.028,2,-1.19,0.54,0.47
GLAS,2.016666667,44.5193423,-122.9960553,69.46334999,0.867,814.289,0.012,0.01,0.041,2,0.43,-0.5,2.03
GLAS,2.016666667,44.51934225,-122.9960554,69.4533616,0.899,788.982,0.012,0.073,0.077,2,-0.13,-1.66,1.04
GLAS,2.016666667,44.51934228,-122.9960552,69.4512284,0.904,762.158,0.009,0.009,0.03,2,0.22,-0.13,0.82
GLAS,2.016666667,44.51934222,-122.9960547,69.45705959,0.871,760.327,0.009,0.013,0.033,2,-0.49,4.52,1.41
GLAS,2.016666667,44.51934235,-122.9960553,69.48817804,0.89,814.289,0.01,0.01,0.035,2,0.93,-0.29,4.52
GLAS,2.016666667,44.51934234,-122.9960553,69.46945407,0.909,765.703,0.009,0.01,0.03,2,0.81,-0.39,2.65
GLAS,2.016666667,44.51934222,-122.9960552,69.47906997,0.879,753.765,0.009,0.011,0.039,2,-0.56,0.2,3.61
GLAS,2.016666667,44.51934193,-122.9960562,69.45319469,0.864,753.765,0.01,0.014,0.032,2,-3.76,-7.77,1.02
GLAS,2.016666667,44.51934225,-122.996056,69.47962661,0.844,814.289,0.019,0.091,0.087,2,-0.19,-6.26,3.66
GLAS,2.016666667,44.5193421,-122.9960564,69.50513566,0.887,765.703,0.009,0.019,0.035,2,-1.86,-9.21,6.21
GLAS,2.016666667,44.51934213,-122.9960548,69.45755652,0.902,753.765,0.01,0.023,0.036,2,-1.53,2.98,1.46
GLAS,2.016666667,44.5193423,-122.9960554,69.41979109,0.879,753.765,0.008,0.01,0.028,2,0.37,-1.29,-2.32
GLAS,2.016666667,44.51934221,-122.9960551,69.45872081,0.867,814.289,0.01,0.02,0.039,2,-0.66,0.85,1.57
GLAS,2.016666667,44.51934239,-122.996055,69.36696225,0.885,752.005,0.011,0.014,0.038,2,1.35,1.53,-7.6
GLAS,2.016666667,44.51934205,-122.9960554,69.51968094,0.884,753.765,0.012,0.009,0.03,2,-2.44,-1.71,7.67
GLAS,2.016666667,44.51934227,-122.9960553,69.44347773,0.881,753.765,0.009,0.007,0.027,2,0,-0.98,0.05
GLAS,2.016666667,44.51934217,-122.9960552,69.42092886,0.868,814.289,0.01,0.009,0.032,2,-1.01,0.22,-2.21
GLAS,2.016666667,44.51934201,-122.9960545,69.48390435,0.886,752.005,0.011,0.009,0.025,2,-2.85,6,4.09
GLAS,2.016666667,44.5193422,-122.9960552,69.42612207,0.902,753.765,0.009,0.009,0.029,2,-0.68,0.19,-1.69
GLAS,2.016666667,44.51934222,-122.9960551,69.45155156,0.901,753.765,0.009,0.007,0.025,2,-0.51,0.7,0.86
LBCC,2.016666667,44.58498576,-123.1181772,46.92015396,0.876,808.547,0.012,0.051,0.043,2,0.64,-6.89,-2.98
LBCC,2.016666667,44.58498573,-123.1181763,47.04990392,0.855,806.716,0.014,0.011,0.06,2,0.35,0.23,9.99
LBCC,2.016666667,44.58498573,-123.1181764,47.01084836,0.923,749.736,0.01,0.009,0.043,2,0.27,-0.35,6.08
LBCC,2.008333333,44.58498565,-123.1181761,46.97071733,0.929,759.961,0.01,0.016,0.035,2,-0.55,1.5,2.07
LBCC,2.016666667,44.58498562,-123.1181764,46.97266237,0.912,744.907,0.01,0.009,0.042,2,-0.88,-0.17,2.27
LBCC,2.016666667,44.5849857,-123.1181764,46.96695947,0.912,761.72,0.012,0.011,0.041,2,-0.04,-0.1,1.7
LBCC,2.016666667,44.58498556,-123.1181762,46.95826722,0.882,759.889,0.009,0.01,0.038,2,-1.57,1.03,0.83
LBCC,2.016666667,44.58498572,-123.1181763,46.99887548,0.893,808.547,0.014,0.01,0.045,2,0.18,0.68,4.89
LBCC,2.016666667,44.58498567,-123.1181763,46.9534003,0.876,808.547,0.013,0.011,0.049,2,-0.39,-0.1,0.34
LBCC,2.016666667,44.58498566,-123.1181762,47.00221799,0.912,751.567,0.01,0.012,0.048,2,-0.43,0.76,5.22
LBCC,2.016666667,44.58498564,-123.1181763,46.96980738,0.912,751.567,0.007,0.008,0.031,2,-0.74,0.11,1.98
LBCC,2.016666667,44.58498558,-123.1181763,46.93147234,0.911,822.244,0.009,0.01,0.032,2,-1.32,0.38,-1.85
LBCC,2.016666667,44.58498569,-123.1181764,46.93070824,0.892,753.327,0.009,0.01,0.041,2,-0.12,-0.44,-1.93
LBCC,2.016666667,44.58498576,-123.1181767,46.97564343,0.85,753.327,0.013,0.019,0.041,2,0.65,-3.24,2.56
LBCC,2.016666667,44.58498574,-123.1181764,46.96068154,0.888,808.547,0.008,0.012,0.046,2,0.44,-0.73,1.07
LBCC,2.016666667,44.58498582,-123.1181766,46.99278932,0.846,808.547,0.021,0.026,0.063,2,1.35,-2.16,4.28
