station,duration(hr),IGS08Lat,IGS08Long,IGS08elipht,sigmalat95(m),sigmalon95(m),sigmaelht95(m),NominalT,dn (cm),de (cm),dh (cm)
BICK,2.008333333,44.48952022,-123.2807106,51.984,0.021,0.07,0.07,2,-1.73,0.52,2.4
LBCC,2.008333333,44.58498569,-123.1181758,46.936,0.022,0.096,0.074,2,-0.1,4.44,-1.4
B726,2.016666667,44.64840736,-123.0626601,42.009,0.023,0.098,0.08,2,-0.3,8.02,-4.5
B726,2.016666667,44.64840739,-123.0626608,42.07,0.019,0.046,0.062,2,0.01,2.95,1.6
B726,2.016666667,44.64840731,-123.0626605,42.041,0.043,0.094,0.121,2,-0.92,4.71,-1.3
B726,2.016666667,44.64840731,-123.0626611,42.019,0.021,0.047,0.085,2,-0.92,-0.14,-3.5
B726,2.016666667,44.64840711,-123.0626606,42.077,0.056,0.086,0.142,2,-3.08,4.27,2.3
B726,2.016666667,44.64840744,-123.0626604,41.995,0.021,0.07,0.083,2,0.63,6.03,-5.9
B726,2.016666667,44.64840739,-123.062661,42.066,0.017,0.056,0.066,2,0.01,0.97,1.2
B726,2.016666667,44.64840739,-123.0626604,42.024,0.057,0.158,0.137,2,0.01,5.59,-3
B726,2.016666667,44.64840733,-123.0626611,42.024,0.035,0.051,0.117,2,-0.61,-0.14,-3
B726,2.016666667,44.64840725,-123.0626608,42.056,0.058,0.112,0.114,2,-1.53,2.29,0.2
B726,2.016666667,44.64840736,-123.0626599,41.96,0.021,0.083,0.079,2,-0.3,9.34,-9.4
B726,2.016666667,44.64840742,-123.062661,42.046,0.018,0.049,0.058,2,0.32,1.19,-0.8
B726,2.016666667,44.64840736,-123.0626609,42.042,0.043,0.113,0.112,2,-0.3,2.07,-1.2
B726,2.016666667,44.64840725,-123.0626612,42.043,0.025,0.048,0.096,2,-1.53,-0.36,-1.1
B726,2.016666667,44.6484075,-123.0626617,42.025,0.049,0.087,0.11,2,1.25,-4.54,-2.9
B726,2.016666667,44.64840733,-123.0626606,42.037,0.017,0.054,0.06,2,-0.61,4.27,-1.7
B726,2.016666667,44.6484075,-123.0626604,42.01,0.045,0.12,0.125,2,1.25,5.59,-4.4
B726,2.016666667,44.6484075,-123.0626613,42.014,0.028,0.057,0.111,2,1.25,-1.02,-4
B726,2.016666667,44.64840742,-123.062661,42.052,0.042,0.072,0.099,2,0.32,1.19,-0.2
B726,2.016666667,44.64840753,-123.0626615,42.1,0.022,0.06,0.06,2,1.55,-3.22,4.6
BICK,2.016666667,44.48952011,-123.2807104,51.983,0.025,0.116,0.09,2,-2.96,1.41,2.3
BICK,2.016666667,44.48952025,-123.2807104,51.96,0.022,0.095,0.067,2,-1.42,2.07,0
