station,duration,IGS08LAT,IGS08LONG,IGS08ELIPHT,cp_mean(m),cp_std(m),sigmax(m),sigmay(m),sigmaz(m),NominalT,dn (cm),de (cm),dh (cm)
B726,2.01250,44.6484058,-123.0626636,42.37863182,0.0010,0.0430,0.0082,0.0092,0.0077,2,-17.70,-19.34,32.46
B726,2.01250,44.64840739,-123.0626612,42.01707928,-0.0010,0.0250,0.0064,0.0075,0.0068,2,0.04,-0.96,-3.69
B726,2.01250,44.64840759,-123.0626612,42.03428082,0.0000,0.0270,0.0083,0.0099,0.0087,2,2.28,-0.32,-1.97
B726,2.01250,44.64840742,-123.062661,42.05944231,-0.0010,0.0300,0.0176,0.0069,0.0075,2,0.33,0.89,0.54
B726,2.01250,44.6484075,-123.0626604,42.02239197,-0.0010,0.0380,0.0235,0.0072,0.0092,2,1.26,5.53,-3.16
B726,2.01250,44.64840739,-123.0626609,42.06201449,0.0000,0.0400,0.0160,0.0087,0.0079,2,0.06,2.14,0.80
B726,2.01250,44.64840716,-123.0626617,42.29877204,-0.0060,0.0680,0.0183,0.0069,0.0081,2,-2.53,-4.61,24.48
B726,2.01250,44.64840751,-123.0626609,42.04854698,0.0000,0.0230,0.0061,0.0054,0.0048,2,1.35,1.42,-0.55
B726,2.01250,44.64840749,-123.062661,42.07636742,0.0000,0.0280,0.0065,0.0065,0.0056,2,1.16,1.09,2.24
B726,2.01250,44.64840748,-123.0626607,42.07401857,0.0000,0.0240,0.0063,0.0051,0.0051,2,1.05,2.98,2.00
B726,2.01250,44.64840746,-123.0626605,42.04117747,0.0000,0.0290,0.0063,0.0059,0.0052,2,0.75,4.54,-1.28
B726,2.01250,44.64840746,-123.0626599,41.95811574,0.0000,0.0230,0.0112,0.0050,0.0060,2,0.79,10.07,-9.59
B726,2.01250,44.64840754,-123.0626603,41.98739035,0.0010,0.0360,0.0104,0.0055,0.0068,2,1.65,6.18,-6.66
B726,2.01250,44.64840747,-123.06266,42.03783054,-0.0020,0.0400,0.0128,0.0056,0.0064,2,0.96,8.96,-1.62
B726,1.89583,44.64840797,-123.0626624,41.8422299,0.0060,0.0920,0.0050,0.0125,0.0061,2,6.42,-10.03,-21.18
B726,2.01250,44.64840761,-123.0626615,42.10728421,0.0000,0.0200,0.0057,0.0067,0.0057,2,2.42,-2.85,5.33
B726,1.89583,44.64840797,-123.0626624,41.8422299,0.0060,0.0920,0.0050,0.0125,0.0061,2,6.42,-10.03,-21.18
B726,2.01250,44.64840735,-123.0626612,42.03578869,-0.0010,0.0220,0.0072,0.0083,0.0074,2,-0.46,-0.39,-1.82
BICK,2.01250,44.4895203,-123.2807107,51.98070442,0.0000,0.0190,0.0072,0.0082,0.0070,2,-0.88,-0.88,2.07
BICK,2.01250,44.48952045,-123.2807105,51.97158132,0.0000,0.0210,0.0080,0.0087,0.0057,2,0.76,0.75,1.16
BICK,2.01250,44.48952017,-123.2807108,52.03995421,0.0000,0.0200,0.0081,0.0086,0.0074,2,-2.27,-1.53,8.00
BICK,2.01250,44.48952029,-123.2807106,51.98010527,0.0000,0.0190,0.0081,0.0086,0.0064,2,-0.96,0.34,2.01
BICK,2.01250,44.48952022,-123.2807105,51.98559571,0.0000,0.0210,0.0104,0.0102,0.0059,2,-1.78,0.85,2.56
BICK,2.01250,44.4895203,-123.2807105,51.97432455,0.0000,0.0190,0.0080,0.0086,0.0060,2,-0.87,0.83,1.43
BICK,2.01250,44.4895204,-123.2807102,51.96843059,0.0010,0.0260,0.0132,0.0075,0.0062,2,0.28,3.12,0.84
BICK,2.01250,44.48952042,-123.2807106,51.93871242,0.0000,0.0190,0.0081,0.0086,0.0067,2,0.51,0.03,-2.13
BICK,2.01250,44.48952046,-123.2807103,51.92811162,0.0000,0.0200,0.0086,0.0094,0.0067,2,0.88,2.45,-3.19
BICK,2.01250,44.48952044,-123.2807104,51.96122653,0.0000,0.0210,0.0128,0.0078,0.0061,2,0.67,1.71,0.12
BICK,2.01250,44.48952036,-123.2807103,51.96374531,0.0000,0.0200,0.0142,0.0088,0.0066,2,-0.24,2.78,0.37
BICK,2.01250,44.48952051,-123.2807107,51.95445155,-0.0010,0.0220,0.0124,0.0053,0.0070,2,1.43,-0.31,-0.55
BICK,2.01250,44.4895206,-123.2807098,51.95876098,-0.0010,0.0240,0.0167,0.0059,0.0072,2,2.45,6.29,-0.12
BICK,2.01250,44.48952038,-123.2807106,51.981374,0.0000,0.0210,0.0153,0.0055,0.0076,2,0.08,0.40,2.14
BICK,2.01250,44.4895203,-123.2807106,51.98493123,0.0000,0.0210,0.0084,0.0049,0.0059,2,-0.85,0.01,2.49
BICK,2.01250,44.4895204,-123.2807107,51.97045497,0.0010,0.0200,0.0138,0.0054,0.0074,2,0.20,-0.38,1.05
BICK,2.01250,44.48952032,-123.2807104,51.96868197,0.0000,0.0200,0.0064,0.0052,0.0052,2,-0.62,1.50,0.87
BICK,2.01250,44.48952047,-123.2807106,51.95334547,0.0000,0.0190,0.0161,0.0054,0.0076,2,1.06,-0.11,-0.67
BICK,2.01250,44.48952037,-123.2807112,51.99229226,0.0000,0.0230,0.0155,0.0054,0.0076,2,-0.06,-4.45,3.23
BICK,2.01250,44.48952041,-123.2807106,51.97211878,0.0000,0.0230,0.0064,0.0051,0.0051,2,0.36,-0.14,1.21
BICK,2.01250,44.48952034,-123.2807106,51.96615259,0.0000,0.0190,0.0067,0.0049,0.0053,2,-0.39,0.23,0.62
BICK,2.01250,44.4895204,-123.2807106,51.98052932,0.0000,0.0210,0.0092,0.0062,0.0055,2,0.27,0.39,2.05
BICK,2.01250,44.48952045,-123.2807107,51.95960049,-0.0010,0.0220,0.0063,0.0058,0.0048,2,0.80,-0.27,-0.04
BICK,2.01250,44.48952044,-123.2807104,51.98759704,0.0000,0.0200,0.0075,0.0060,0.0050,2,0.64,1.57,2.76
BICK,2.01250,44.48952036,-123.2807103,51.98686154,0.0000,0.0220,0.0120,0.0063,0.0058,2,-0.22,2.78,2.69
