Station,Duration,IGS08Lat,IGS08Long,IGS08elipht,RMS,Fixed_Amb,P2PLat,P2PLong,P2PElht,NominalT,dn (cm),de (cm),dh (cm)
B726,2.016666667,44.6484073,-123.0626598,41.934,0.0170,0.6100,0.0290,0.4370,0.1720,2,-0.93,10.69,-12.00
B726,2.016666667,44.64840754,-123.0626607,42.072,0.0210,0.7300,0.0460,0.0540,0.0310,2,1.73,3.57,1.80
B726,2.016666667,44.64840714,-123.0626611,42.03,0.0170,0.8900,0.0080,0.0210,0.0930,2,-2.69,0.15,-2.40
B726,2.016666667,44.64840729,-123.0626608,42.041,0.0200,0.8700,0.0430,0.0510,0.1880,2,-0.96,2.27,-1.30
B726,2.016666667,44.64840745,-123.0626605,42.04,0.0210,0.8200,0.0240,0.0850,0.1510,2,0.80,4.78,-1.30
B726,2.016666667,44.64840745,-123.0626611,42.088,0.0170,0.8700,0.0040,0.0010,0.0410,2,0.74,0.44,3.40
B726,2.016666667,44.64840755,-123.0626599,42.013,0.0190,0.8000,0.0430,0.0440,0.1370,2,1.94,9.34,-4.10
B726,2.016666667,44.64840706,-123.062661,42.017,0.0180,0.9300,0.0180,0.0220,0.1100,2,-3.52,0.79,-3.70
B726,2.016666667,44.64840728,-123.062661,42.085,0.0190,0.8100,0.0170,0.0070,0.0220,2,-1.14,0.86,3.20
B726,2.016666667,44.64840739,-123.0626602,41.984,0.0180,0.7500,0.0140,0.1200,0.1720,2,0.09,7.54,-6.90
B726,2.016666667,44.64840742,-123.0626611,42.04,0.0180,0.6500,0.0180,0.0060,0.0420,2,0.34,0.22,-1.30
B726,2.016666667,44.64840755,-123.0626608,42.053,0.0190,0.6500,0.0420,0.0510,0.1130,2,1.82,2.93,0.00
B726,2.016666667,44.64840718,-123.0626611,42.037,0.0170,0.9700,0.0180,0.0080,0.0480,2,-2.28,0.33,-1.70
B726,2.016666667,44.64840724,-123.062661,42.101,0.0190,0.8200,0.0070,0.0070,0.0390,2,-1.61,1.19,4.80
B726,2.016666667,44.64840753,-123.0626611,42.084,0.0170,0.6700,0.0260,0.0130,0.0580,2,1.67,-0.02,3.00
B726,2.016666667,44.64840752,-123.0626604,42.028,0.0190,0.8000,0.0310,0.0700,0.1200,2,1.48,5.99,-2.50
B726,2.016666667,44.64840723,-123.0626611,42.021,0.0180,1.0000,0.0100,0.0090,0.0440,2,-1.76,0.33,-3.20
B726,2.016666667,44.64840726,-123.062661,42.096,0.0180,0.9200,0.0170,0.0060,0.0120,2,-1.42,1.15,4.30
B726,2.016666667,44.64840735,-123.0626611,42.072,0.0140,0.7600,0.0070,0.0180,0.0410,2,-0.40,0.51,1.90
BICK,2.016666667,44.48952028,-123.2807108,51.978,0.0140,0.7600,0.0190,0.0350,0.0480,2,-1.11,-1.10,1.80
BICK,2.016666667,44.48952023,-123.2807106,51.975,0.0090,0.8400,0.0110,0.0130,0.0220,2,-1.73,0.51,1.60
BICK,2.016666667,44.48952027,-123.2807106,51.975,0.0100,0.8400,0.0190,0.0140,0.0160,2,-1.30,0.42,1.60
BICK,2.016666667,44.48952036,-123.2807104,51.95,0.0140,0.9100,0.0380,0.0400,0.0860,2,-0.22,1.75,-0.90
BICK,2.016666667,44.48952029,-123.2807105,51.987,0.0110,0.9100,0.0070,0.0060,0.0540,2,-1.02,1.08,2.70
BICK,2.016666667,44.48952024,-123.2807104,51.968,0.0120,0.7700,0.0110,0.0480,0.0090,2,-1.61,1.92,0.90
BICK,2.016666667,44.48952026,-123.2807105,51.972,0.0100,0.9600,0.0150,0.0090,0.0160,2,-1.36,0.91,1.20
BICK,2.016666667,44.48952036,-123.2807104,51.964,0.0120,0.7100,0.0050,0.0270,0.0830,2,-0.22,1.83,0.50
BICK,2.016666667,44.48952024,-123.2807105,51.972,0.0110,0.8600,0.0050,0.0040,0.0080,2,-1.54,0.66,1.30
BICK,2.016666667,44.48952032,-123.2807105,51.984,0.0100,0.9100,0.0110,0.0080,0.0540,2,-0.65,0.82,2.50
BICK,2.016666667,44.48952015,-123.2807103,51.971,0.0120,0.8400,0.0420,0.0590,0.0220,2,-2.53,2.47,1.10
BICK,2.016666667,44.48952027,-123.2807105,51.965,0.0110,0.8100,0.0150,0.0070,0.0270,2,-1.30,0.80,0.60
BICK,2.016666667,44.48952035,-123.2807103,51.973,0.0130,0.7000,0.0210,0.0670,0.0360,2,-0.37,2.41,1.30
BICK,2.016666667,44.48952029,-123.2807105,51.979,0.0100,0.9300,0.0110,0.0070,0.0120,2,-0.99,0.84,2.00
BICK,2.016666667,44.48952029,-123.2807106,51.98,0.0090,0.9600,0.0060,0.0050,0.0350,2,-1.05,0.53,2.10
BICK,2.016666667,44.48952027,-123.2807108,51.974,0.0130,0.8500,0.0130,0.0650,0.0470,2,-1.27,-1.22,1.40
BICK,2.016666667,44.48952022,-123.2807106,51.961,0.0100,0.8800,0.0070,0.0050,0.0390,2,-1.82,0.35,0.10
BICK,2.016666667,44.48952031,-123.2807103,51.968,0.0150,1.0000,0.0380,0.0450,0.0770,2,-0.77,2.28,0.90
