station,duration,IGS08Lat,IGS08Long,IGS08elipht,total_sv,Percent_Obs,SigmaLat,SigmaLong,SigmaElht,NominalT,dn (cm),de (cm),dh (cm)
B726,2.016666667,44.64840728,-123.0626611,42.021,10,97,0.018,0.073,0.031,2,-1.16,0.53,-3.3
B726,2.016666667,44.64840754,-123.0626615,41.959,9,92,0.015,0.176,0.035,2,1.65,-3.09,-9.5
B726,2.016666667,44.64840746,-123.0626599,41.952,10,96,0.014,0.065,0.029,2,0.75,9.45,-10.2
B726,2.016666667,44.64840741,-123.062661,42.048,9,97,0.013,0.034,0.026,2,0.2,1.25,-0.6
B726,2.016666667,44.64840741,-123.0626607,42.103,9,97,0.013,0.029,0.023,2,0.29,3.13,4.9
B726,2.016666667,44.64840741,-123.0626611,42.077,9,97,0.013,0.036,0.029,2,0.29,0.08,2.3
B726,2.016666667,44.64840738,-123.0626611,42.065,10,97,0.012,0.031,0.023,2,-0.14,-0.2,1.1
B726,2.016666667,44.64840753,-123.0626602,42.032,11,97,0.035,0.09,0.058,2,1.52,7.51,-2.2
B726,2.016666667,44.64840733,-123.0626604,42.042,12,97,0.034,0.071,0.047,2,-0.64,5.7,-1.2
B726,2.016666667,44.64840754,-123.06266,42.014,11,96,0.044,0.119,0.065,2,1.68,8.68,-4
B726,2.016666667,44.64840742,-123.0626609,42.039,12,97,0.035,0.077,0.051,2,0.35,1.65,-1.5
B726,2.016666667,44.64840745,-123.0626613,42.015,10,97,0.019,0.03,0.04,2,0.69,-1.35,-3.9
B726,2.016666667,44.64840727,-123.0626611,42.016,11,97,0.014,0.029,0.033,2,-1.29,0.35,-3.8
B726,2.016666667,44.64840732,-123.0626613,42.001,10,97,0.022,0.029,0.041,2,-0.76,-1.35,-5.3
B726,2.016666667,44.64840722,-123.0626613,42.024,10,97,0.016,0.028,0.035,2,-1.9,-1.77,-3
B726,2.016666667,44.64840743,-123.0626612,42.033,12,97,0.025,0.04,0.036,2,0.44,-0.99,-2.1
B726,2.016666667,44.64840722,-123.062661,42.037,11,97,0.023,0.032,0.04,2,-1.87,0.9,-1.7
B726,2.016666667,44.64840735,-123.062661,42.036,12,97,0.026,0.043,0.034,2,-0.39,0.86,-1.8
B726,2.016666667,44.64840734,-123.062661,42.028,12,97,0.022,0.033,0.033,2,-0.58,0.7,-2.6
B726,2.016666667,44.64840758,-123.0626617,42.087,13,97,0.014,0.037,0.024,2,2.11,-4.83,3.3
BICK,2.016666667,44.48952025,-123.2807109,51.905,12,97,0.017,0.141,0.055,2,-1.45,-2.42,-5.5
BICK,2.016666667,44.48952036,-123.2807103,51.935,10,97,0.012,0.048,0.031,2,-0.25,2.31,-2.5
BICK,2.016666667,44.48952028,-123.2807103,51.944,10,97,0.013,0.041,0.032,2,-1.08,2.91,-1.6
BICK,2.016666667,44.48952023,-123.2807105,51.96,12,96,0.018,0.133,0.051,2,-1.64,0.68,0
BICK,2.016666667,44.48952031,-123.2807106,51.965,9,97,0.012,0.039,0.028,2,-0.8,0.57,0.5
BICK,2.008333333,44.4895203,-123.2807103,52.001,11,97,0.014,0.049,0.028,2,-0.86,2.55,4.1
BICK,2.016666667,44.48952029,-123.2807104,51.977,10,97,0.012,0.038,0.029,2,-0.93,2.05,1.7
BICK,2.016666667,44.48952034,-123.2807105,51.948,10,97,0.014,0.062,0.03,2,-0.4,0.72,-1.2
BICK,2.016666667,44.48952034,-123.2807106,51.985,11,97,0.012,0.034,0.027,2,-0.4,-0.12,2.5
BICK,2.016666667,44.48952024,-123.2807108,51.973,10,97,0.014,0.062,0.028,2,-1.57,-1.56,1.3
BICK,2.016666667,44.48952032,-123.2807107,51.954,10,97,0.014,0.06,0.028,2,-0.65,-0.38,-0.6
BICK,2.016666667,44.4895203,-123.2807106,51.974,10,97,0.01,0.043,0.021,2,-0.86,0.01,1.4
BICK,2.016666667,44.48952025,-123.2807105,51.975,10,97,0.01,0.041,0.021,2,-1.39,0.79,1.5
BICK,2.016666667,44.4895203,-123.2807107,51.967,10,97,0.014,0.061,0.028,2,-0.83,-0.96,0.7
BICK,2.016666667,44.48952033,-123.2807104,51.997,10,97,0.01,0.048,0.022,2,-0.59,1.52,3.7
BICK,2.016666667,44.48952032,-123.2807106,51.982,10,97,0.012,0.063,0.026,2,-0.68,0.34,2.2
BICK,2.016666667,44.48952034,-123.2807101,52.003,9,97,0.012,0.044,0.025,2,-0.37,3.9,4.3
BICK,2.016666667,44.48952032,-123.2807107,51.987,10,97,0.011,0.035,0.021,2,-0.68,-0.5,2.7
BICK,2.016666667,44.48952034,-123.2807106,51.997,10,97,0.01,0.053,0.022,2,-0.37,-0.05,3.7
BICK,2.016666667,44.48952021,-123.2807107,51.983,10,97,0.013,0.028,0.025,2,-1.85,-0.85,2.3
BICK,2.016666667,44.48952025,-123.2807107,52.002,10,97,0.013,0.028,0.024,2,-1.45,-0.54,4.2
BICK,2.016666667,44.48952032,-123.2807107,51.982,12,97,0.035,0.072,0.048,2,-0.65,-0.58,2.2
BICK,2.016666667,44.48952027,-123.2807108,51.996,12,97,0.028,0.067,0.041,2,-1.2,-1.36,3.6
BICK,2.016666667,44.48952023,-123.2807105,51.987,10,97,0.013,0.028,0.024,2,-1.7,0.79,2.7
BICK,2.016666667,44.48952031,-123.2807108,51.999,12,97,0.023,0.055,0.038,2,-0.77,-1.22,3.9
BICK,2.016666667,44.48952026,-123.2807108,51.987,10,97,0.016,0.033,0.029,2,-1.36,-1.16,2.7
BICK,2.016666667,44.48952029,-123.2807107,51.994,12,96,0.025,0.062,0.04,2,-0.93,-0.98,3.4
BICK,2.016666667,44.48952034,-123.2807102,51.965,12,97,0.03,0.074,0.044,2,-0.37,3.73,0.5
BICK,2.016666667,44.48952039,-123.2807106,51.977,12,97,0.02,0.048,0.036,2,0.19,0.04,1.7
BICK,2.016666667,44.48952025,-123.2807105,51.977,12,97,0.036,0.053,0.05,2,-1.39,1.34,1.7
BICK,2.016666667,44.48952028,-123.2807103,52.003,13,97,0.028,0.052,0.042,2,-1.05,2.47,4.3
BICK,2.016666667,44.48952024,-123.2807105,51.989,11,97,0.026,0.045,0.05,2,-1.51,0.61,2.9
BICK,2.016666667,44.48952024,-123.2807107,51.96,10,97,0.026,0.028,0.041,2,-1.48,-0.27,0
BICK,2.016666667,44.48952032,-123.2807101,51.982,12,97,0.027,0.055,0.041,2,-0.62,4.32,2.2
BICK,2.016666667,44.48952019,-123.2807107,52.009,10,97,0.028,0.028,0.04,2,-2.04,-0.96,4.9
BICK,2.016666667,44.48952024,-123.2807104,52.007,11,97,0.037,0.064,0.044,2,-1.48,2,4.7
BICK,2.016666667,44.48952028,-123.2807107,51.964,10,97,0.025,0.027,0.039,2,-1.05,-0.8,0.4
BICK,2.016666667,44.48952014,-123.2807109,52.01,11,97,0.019,0.028,0.037,2,-2.62,-2.4,5
BICK,2.016666667,44.4895203,-123.2807106,51.965,9,97,0.031,0.03,0.043,2,-0.83,0.39,0.5
BICK,2.016666667,44.48952026,-123.2807107,51.975,11,93,0.016,0.033,0.035,2,-1.3,-0.96,1.5
BICK,2.016666667,44.48952036,-123.2807106,51.938,11,96,0.017,0.033,0.033,2,-0.15,0.5,-2.2
BICK,2.016666667,44.48952028,-123.2807108,51.957,12,97,0.022,0.041,0.032,2,-1.11,-1.6,-0.3
BICK,2.016666667,44.48952024,-123.2807105,51.955,13,97,0.021,0.04,0.027,2,-1.51,0.83,-0.5
BICK,2.016666667,44.48952033,-123.2807106,51.998,11,97,0.014,0.029,0.037,2,-0.55,-0.19,3.8
